Candidate ID|Total Contributions|Z Value of Total|Minimum Contribution|Maximum Contribution|Median Contribution|Mean Contribution|Stdev of Contributions
H2VA10117|73242.00|-0.0907|-2500.00|5000.00|1000.00|1627.60|1719.51
H2NY12148|17500.00|-0.0959|500.00|5000.00|2000.00|2187.50|1818.95
H2GA07097|8700.00|-0.0967|200.00|5000.00|2500.00|2175.00|1828.08
H0VA02084|1170385.00|0.0115|-2500.00|125951.00|1000.00|2690.54|9883.02
P20002978|28781.00|-0.0949|7.00|8002.00|375.00|1598.94|2210.47
H0MA10066|15673.00|-0.0961|1575.00|14098.00|14098.00|7836.50|6261.50
H2NC09100|5937.00|-0.0970|500.00|2500.00|1937.00|1484.25|781.02
H2OH02085|283820.00|-0.0711|-2000.00|5000.00|1000.00|1640.58|1457.25
S2ME00158|31744.00|-0.0946|-2403.00|25000.00|2000.00|3968.00|8242.58
H6IA03144|3195665.00|0.2002|-5000.00|613162.00|1000.00|5596.61|32719.45
H2NC11080|309179.00|-0.0688|-2000.00|15000.00|1000.00|1873.81|2056.37
H2OH17109|589958.00|-0.0426|-2500.00|5000.00|1000.00|1573.22|1330.31
H6PA07105|-261.00|-0.0976|-261.00|-261.00|-261.00|-261.00|0.00
H8NY06048|545032.00|-0.0468|-5000.00|5000.00|1000.00|1687.41|1525.94
H0MA10082|538097.00|-0.0474|-2500.00|5000.00|1000.00|1592.00|1323.97
H4OH19036|726063.00|-0.0299|-5000.00|5000.00|1000.00|1642.68|1348.81
H6OR03064|766816.00|-0.0261|-2500.00|5000.00|1000.00|1783.29|1417.43
H6NY24128|-500.00|-0.0976|-500.00|-500.00|-500.00|-500.00|0.00
H0OR01095|1503344.00|0.0425|3.00|249612.00|2500.00|13303.93|34260.60
H6CA24113|2502266.00|0.1356|-5000.00|555567.00|1000.00|6318.85|40464.10
H6IL03114|500.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H2MO06186|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
